"","model_id","sample_id","patient_id","parent_id","model_name","synonyms","tissue","cancer_type","cancer_type_ncit_id","tissue_status","sample_site","cancer_type_detail","model_type","growth_properties","model_treatment","sampling_day","sampling_month","sampling_year","doi","pmed","msi_status","ploidy_snp6","ploidy_wes","ploidy_wgs","mutational_burden","model_comments","model_relations_comment","COSMIC_ID","BROAD_ID","CCLE_ID","RRID","HCMI","suppliers","supplier","cat_number","species","gender","ethnicity","age_at_sampling","family_history_of_cancer","prior_same_malignancy","prior_other_malignancy","smoking_status","alcohol_exposure_intensity","alcohol_consumption_per_week","history_diabetes","diabetes_treatment","colorectal_cancer_risk_factors","patient_history_of_gastrointestinal_disorder","gastrointestinal_disorder_diagnosed","prior_synchronous_colon_rectal_tumours","history_prior_colon_polyps","previous_current_barretts_oesophagus","reflux_disease_prior","reflux_disease_treatment","h_pylori_infection","history_clinical_chronic_pancreatitis","tumour_grade","tnm_integrated","tnm_t","tnm_n","tnm_m","clinical_staging","metastasis_at_diagnosis","metastatic_site_at_diagnosis","method_procurement","sample_treatment","sample_treatment_details","radiation_type","prior_therapy_outcome","tumour_regression_score","colon_polyps_present_at_time_of_tissue_collection","venous_invasion_present","venous_invasion_type","lymphatic_invasion_present","perineural_invasion_present","gastric_oesophageal_junction","barretts_goblet_cells_present","oesophageal_columnar_metaplasia","goblet_cells_oesophageal_columnar_mucosa","degree_of_dysplasia_non_cancerous_oesophageal_columnar_mucosa","peripancreatic_lymph_nodes_tested_surgery","number_positive_peripancreatic_lymph_nodes","mlh1_expression_by_ihc","mlh1_promoter_methylation_status","msh2_expression_by_ihc","pms2_expression_by_ihc","msh6_expression_by_ihc","braf_mutation_identified","braf_expression_by_ihc","pik3ca_mutation_identified","pten_expression_by_ihc","pten_mutation_identified","kras_mutation_identified","mismatch_repair_status","preoperative_ce_alevel","crispr_ko_data"
"888","SIDM01078","SIDS00356","SIDP00301","","SHP77","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Lung","Small Cell Lung Carcinoma","Cell Line","Semi-Adherent","","None","None","1977","",NA,"MSS",2.019700793,2.28365304755273,NA,70.24,"","","724872","ACH-000790","SHP77_LUNG","CVCL_1693","","ATCC:CRL-2195","ATCC","CRL-2195","Homo sapiens","Male","White","54.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"903","SIDM01130","SIDS00304","SIDP00251","","NCIH520","NCI-HUT-520","Lung","Squamous Cell Lung Carcinoma","C3493","Tumour","Lung ","Squamous Cell Lung Carcinoma","Cell Line","Adherent","","None","None","1982","",NA,"MSS",4.633640102,2.82028122085746,NA,36.42,"","","908443","ACH-000395","NCIH520_LUNG","CVCL_1566","","ATCC:HTB-182","ATCC","HTB-182","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"904","SIDM01127","SIDS00307","SIDP00254","","NCIH596","NCI-HUT-596","Lung","Non-Small Cell Lung Carcinoma","C9133","Tumour","Chest wall","Adenosquamous Lung Carcinoma","Cell Line","Adherent","","None","None","1983","",NA,"MSS",2.989640551,3.08770714443783,NA,44.97,"","","908459","ACH-000628","NCIH596_LUNG","CVCL_1571","","ATCC:HTB-178","ATCC","HTB-178","Homo sapiens","Male","White","73.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"905","SIDM01125","SIDS00309","SIDP00256","","NCIH647","H647ell","Lung","Non-Small Cell Lung Carcinoma","C9133","Metastasis","Pleural effusion","Adenosquamous Lung Carcinoma","Cell Line","Adherent","","None","10","1983","",NA,"MSS",3.17418743,3.31533051959758,NA,52.37,"","","1240191","ACH-000378","NCIH647_LUNG","CVCL_1574","","ATCC:CRL-5834","ATCC","CRL-5834","Homo sapiens","Male","White","56.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"906","SIDM01126","SIDS00308","SIDP00255","","NCIH64","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","5","1977","",NA,"MSS",3.568754496,3.73641190589867,NA,73.97,"","","688026","ACH-001599","NCIH64_LUNG","CVCL_1573","","ATCC:CRL-5976","ATCC","CRL-5976","Homo sapiens","Female","Black","48.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"907","SIDM01124","SIDS00310","SIDP00257","","NCIH650","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Suspension","","None","10","1983","",NA,"MSS",4.420226992,3.61728778001747,NA,213.66,"","","722066","ACH-000945","NCIH650_LUNG","CVCL_1575","","ATCC:CRL-5835","ATCC","CRL-5835","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"908","SIDM01122","SIDS00312","SIDP00259","","NCIH661","","Lung","Non-Small Cell Lung Carcinoma","C4450","Metastasis","Lymph node","Large Cell Lung Carcinoma","Cell Line","Adherent","","None","11","1983","",NA,"MSS",3.247335611,3.53421140726225,NA,77.03,"","","687829","ACH-000853","NCIH661_LUNG","CVCL_1577","","ATCC:HTB-183","ATCC","HTB-183","Homo sapiens","Male","White","43.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"909","SIDM01121","SIDS00313","SIDP00260","","NCIH69","NCI-HUT-69;H69/P;NCI-H69C","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","9","1977","",NA,"MSS",1.607394461,1.64408200537559,NA,42.34,"","","688027","ACH-000358","NCIH69_LUNG","CVCL_1579","","ATCC:HTB-119","ATCC","HTB-119","Homo sapiens","Male","White","55.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"910","SIDM01120","SIDS00314","SIDP00261","","NCIH720","","Lung","Other Solid Cancers","C4038","Tumour","Unknown","Lung Carcinoid Tumor","Cell Line","Suspension","","None","4","1984","",NA,"MSS",2.034887773,2.13750026337026,NA,68.13,"","","687600","ACH-002174","NCIH720_LUNG","CVCL_1583","","ATCC:CRL-5838","ATCC","CRL-5838","Homo sapiens","Male","Unknown","0.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"911","SIDM01119","SIDS00315","SIDP00262","","NCIH727","","Lung","Other Solid Cancers","C4038","Tumour","Bronchus","Lung Carcinoid Tumor","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.646021597,2.70275922461557,NA,83.58,"","","724855","ACH-000775","NCIH727_LUNG","CVCL_1584","","ATCC:CRL-5815","ATCC","CRL-5815","Homo sapiens","Female","White","65.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"912","SIDM01117","SIDS00317","SIDP00264","","NCIH748","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Lymph node","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","7","1984","",NA,"MSS",2.696912736,2.80115336200245,NA,75.63,"","","909194","ACH-002176","NCIH748_LUNG","CVCL_1588","","ATCC:CRL-5841","ATCC","CRL-5841","Homo sapiens","Male","Black","62.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"913","SIDM01116","SIDS00318","SIDP00265","","NCIH810","","Lung","Non-Small Cell Lung Carcinoma","C4450","Tumour","Unknown","Large Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.549470101,2.67312188911747,NA,84.37,"","","925341","ACH-000789","NCIH810_LUNG","CVCL_1590","","ATCC:CRL-5816","ATCC","CRL-5816","Homo sapiens","Male","Black","51.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"914","SIDM01131","SIDS00319","SIDP00266","","NCIH82","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Pleural effusion","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","1978","",NA,"MSS",2.493965917,2.58474734225199,NA,31.84,"","","688031","ACH-000355","NCIH82_LUNG","CVCL_1591","","ATCC:HTB-175","ATCC","HTB-175","Homo sapiens","Male","White","40.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"915","SIDM01150","SIDS00321","SIDP00268","","NCIH838","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Lymph node","Lung Adenocarcinoma","Cell Line","Adherent","","None","10","1984","",NA,"MSS",2.232140757,2.35933343364392,NA,62.37,"","","910399","ACH-000416","NCIH838_LUNG","CVCL_1594","","ATCC:CRL-5844","ATCC","CRL-5844","Homo sapiens","Male","White","59.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"917","SIDM01149","SIDS00323","SIDP00270","","NCIH847","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Pleural effusion","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","10","1984","",NA,"MSS",3.144663815,2.28447289184902,NA,35.76,"","","1240193","ACH-001365","NCIH847_LUNG","CVCL_1596","","ATCC:CRL-5846","ATCC","CRL-5846","Homo sapiens","Male","White","63.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy;Radiotherapy","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"935","SIDM01103","SIDS00369","SIDP00314","","SKMES1","","Lung","Squamous Cell Lung Carcinoma","C3493","Metastasis","Pleural effusion","Squamous Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.474006846,2.77979272160024,NA,54.76,"","RERF-LC-MA has the same DNA profile as lung squamous carcinoma cell line SK-MES-1 (JCRB).","909728","ACH-000665","SKMES1_LUNG","CVCL_0630","","ATCC:HTB-58","ATCC","HTB-58","Homo sapiens","Male","White","65.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1026","SIDM00048","SIDS00735","SIDP00659","","EMCBAC1","","Lung","Non-Small Cell Lung Carcinoma","C2926","Unknown","Unknown","Non-Small Cell Lung Carcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",1.98305395,2.01698009219967,NA,56.74,"","","1503369","ACH-002101","EMCBAC1_LUNG","CVCL_X486","","Unknown:Unknown","Unknown","Unknown","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1027","SIDM00047","SIDS00736","SIDP00660","","EMCBAC2","","Lung","Non-Small Cell Lung Carcinoma","C2926","Unknown","Unknown","Non-Small Cell Lung Carcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.027550549,2.07096091314121,NA,23.42,"","","1503370","ACH-002102","EMCBAC2_LUNG","CVCL_X487","","Unknown:Unknown","Unknown","Unknown","Homo sapiens","Unknown","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1077","SIDM00367","SIDS01055","SIDP00947","","SBC3","","Lung","Small Cell Lung Carcinoma","C4917","Unknown","Unknown","Small Cell Lung Carcinoma","Cell Line","Unknown","","None","None","None","10.18926/AMO/31923",3012965,"MSS",2.150686806,2.20307706057162,NA,29.63,"","","753610","ACH-002197","SBC3_LUNG","CVCL_1678","","JCRB:JCRB0818","JCRB","JCRB0818","Homo sapiens","Male","Unknown","24.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1246","SIDM00718","SIDS00299","SIDP00246","","NCIH358","","Lung","Non-Small Cell Lung Carcinoma","C2923","Tumour","Alveolus","Bronchiolo-Alveolar Lung Carcinoma","Cell Line","Adherent","","None","None","1981","",NA,"MSS",2.837776613,3.40684731952027,NA,114.08,"","","908465","ACH-000860","NCIH358_LUNG","CVCL_1559","","ATCC:CRL-5807","ATCC","CRL-5807","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1305","SIDM00309","SIDS00880","SIDP00784","","NCIH2803","","Lung","Mesothelioma","C7376","Unknown","Unknown","Malignant Pleural Mesothelioma","Cell Line","Unknown","","None","None","None","",NA,"MSS",1.702749011,1.75644048376162,NA,28.47,"","","1240135","ACH-002131","H2803_PLEURA","CVCL_U997","","NCI-Navy Medical Oncology Branch:NCI-H2803","NCI-Navy Medical Oncology Branch","NCI-H2803","Homo sapiens","Unknown","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1309","SIDM00320","SIDS01083","SIDP00972","","VMRCLCD","","Lung","Non-Small Cell Lung Carcinoma","C3512","Unknown","Unknown","Lung Adenocarcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",2.404999843,2.58694051501065,NA,71.76,"","","713869","ACH-001233","VMRCLCD_LUNG","CVCL_1787","","JCRB:JCRB0814","JCRB","JCRB0814","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1419","SIDM00493","SIDS00920","SIDP00823","","NCIH292","NCI-HUT-292","Lung","Other Solid Cancers","C45544","Metastasis","Lymph node","Lung Mucoepidermoid Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.03606007,2.06528491156545,NA,32.97,"","","753604","ACH-001075","NCIH292_LUNG","CVCL_0455","","ECACC:91091815","ECACC","91091815","Homo sapiens","Female","Black","32.0","","","","Non-Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1464","SIDM00524","SIDS00901","SIDP00804","","DMS79","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Pleural effusion","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",3.446808615,1.82898783879808,NA,54.71,"","","753551","ACH-000703","DMS79_LUNG","CVCL_1178","","ECACC:95062824","ECACC","95062824","Homo sapiens","Male","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy;Radiotherapy","The patient was treated with cytoxan, vincristine, methotrexate and radiation therapy","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1469","SIDM00654","SIDS00211","SIDP00172","","NCIH1048","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Pleural effusion","Small Cell Lung Carcinoma","Cell Line","Adherent","","None","4","1985","",NA,"MSI",2.010062975,2.04457292763413,NA,68.24,"","","687995","ACH-000866","NCIH1048_LUNG","CVCL_1453","","ATCC:CRL-5853","ATCC","CRL-5853","Homo sapiens","Female","Unknown","0.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1470","SIDM00754","SIDS00244","SIDP00202","","NCIH1781","","Lung","Non-Small Cell Lung Carcinoma","C2923","Metastasis","Pleural effusion","Bronchiolo-Alveolar Lung Carcinoma","Cell Line","Adherent","","None","11","1987","",NA,"MSS",2.435727063,5.02649318885113,NA,34.32,"","","1298350","ACH-000379","NCIH1781_LUNG","CVCL_1494","","ATCC:CRL-5894","ATCC","CRL-5894","Homo sapiens","Female","White","66.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1471","SIDM00760","SIDS00257","SIDP00213","","NCIH1963","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","6","1988","",NA,"MSS",1.989842841,2.07434214492982,NA,49.24,"","","688010","ACH-000729","NCIH1963_LUNG","CVCL_1510","","ATCC:CRL-5982","ATCC","CRL-5982","Homo sapiens","Male","Black","56.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1472","SIDM00703","SIDS00276","SIDP00227","","NCIH2110","","Lung","Non-Small Cell Lung Carcinoma","C2926","Metastasis","Pleural effusion","Non-Small Cell Lung Carcinoma","Cell Line","Adherent","","None","12","1988","",NA,"MSS",2.581503252,2.82511345154039,NA,183.34,"","","1298351","ACH-000929","NCIH2110_LUNG","CVCL_1530","","ATCC:CRL-5924","ATCC","CRL-5924","Homo sapiens","Unknown","Unknown","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1473","SIDM00721","SIDS00296","SIDP00243","","NCIH250","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","6","1980","",NA,"MSS",2.698256841,2.70394886254918,NA,82.08,"","","924241","ACH-002171","NCIH250_LUNG","CVCL_1554","","ATCC:CRL-5828","ATCC","CRL-5828","Homo sapiens","Male","Black","34.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1474","SIDM00720","SIDS00297","SIDP00244","","NCIH28","HUT-28","Lung","Mesothelioma","C45663","Metastasis","Pleural effusion","Pleural Sarcomatoid Mesothelioma","Cell Line","Adherent","","None","9","1976","",NA,"MSS",3.800372222,3.9143326749016,NA,39.97,"","","908470","ACH-000648","NCIH28_PLEURA","CVCL_1555","","ATCC:CRL-5820","ATCC","CRL-5820","Homo sapiens","Male","White","48.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1520","SIDM00770","SIDS00247","SIDP00205","","NCIH1836","","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","2","1988","",NA,"MSS",3.153430719,3.33016426106055,NA,40.82,"","","1240182","ACH-000559","NCIH1836_LUNG","CVCL_1498","","ATCC:CRL-5898","ATCC","CRL-5898","Homo sapiens","Male","White","52.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy;Radiotherapy","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1673","SIDM01072","SIDS00521","SIDP00457","","HCC15","HCC0015","Lung","Squamous Cell Lung Carcinoma","C3493","Tumour","Unknown","Squamous Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",1.659190536,1.70439101973481,NA,86.95,"","","1240143","ACH-000878","HCC15_LUNG","CVCL_2057","","DSMZ:ACC-496","DSMZ","ACC-496","Homo sapiens","Male","Unknown","47.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1676","SIDM01129","SIDS00305","SIDP00252","","NCIH524","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Lymph node ","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","11","1982","",NA,"MSS",2.216436458,2.26619079054489,NA,51.89,"","","908483","ACH-000816","NCIH524_LUNG","CVCL_1568","","ATCC:CRL-5831","ATCC","CRL-5831","Homo sapiens","Male","White","63.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy;Radiotherapy","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1677","SIDM01128","SIDS00306","SIDP00253","","NCIH526","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Bone marrow","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","11","1982","",NA,"MSS",3.020944899,3.09101360726022,NA,53.03,"","","688025","ACH-000767","NCIH526_LUNG","CVCL_1569","","ATCC:CRL-5811","ATCC","CRL-5811","Homo sapiens","Male","White","55.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1761","SIDM00224","SIDS00599","SIDP00529","","ISTMES1","","Lung","Mesothelioma","C45662","Tumour","Unknown","Pleural Epithelioid Mesothelioma","Cell Line","Adherent","","None","None","None","",NA,"MSS",3.285277894,3.3723074487601,NA,27.11,"","","907173","ACH-000569","ISTMES1_PLEURA","CVCL_1311","","ICLC:HTL01005","ICLC","HTL01005","Homo sapiens","Female","White","70.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1780","SIDM00344","SIDS01097","SIDP00986","","LCLC97TM1","","Lung","Non-Small Cell Lung Carcinoma","C4450","Tumour","Unknown","Large Cell Lung Carcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.800251463,2.88945060148457,NA,48.68,"","","946361","ACH-000596","LCLC97TM1_LUNG","CVCL_1376","","DSMZ:ACC-388","DSMZ","ACC-388","Homo sapiens","Male","White","44.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1787","SIDM00921","SIDS00096","SIDP00078","","CALU6","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","1976","",NA,"MSS",2.556255696,2.86999243726843,NA,29.66,"","","724859","ACH-000264","CALU6_LUNG","CVCL_0236","","ATCC:HTB-56","ATCC","HTB-56","Homo sapiens","Female","White","61.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1798","SIDM00511","SIDS00892","SIDP00795","","CORL279","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Lymph node","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",3.211900216,1.81213912619402,NA,28.32,"","","910937","ACH-000257","CORL279_LUNG","CVCL_1140","","ECACC:96020724","ECACC","96020724","Homo sapiens","Male","Unknown","63.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1807","SIDM00922","SIDS00095","SIDP00077","","CALU3","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Pleural effusion","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",2.861778616,2.96575571291351,NA,26.66,"","","687777","ACH-000392","CALU3_LUNG","CVCL_0609","","ATCC:HTB-55","ATCC","HTB-55","Homo sapiens","Male","White","25.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Chemotherapy","cytoxan, bleomycin and adriamycin","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1808","SIDM01068","SIDS00525","SIDP00461","","HCC78","HCC0078","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Pleural effusion","Lung Adenocarcinoma","Cell Line","Adherent","","None","None","None","",NA,"MSS",3.94242339,2.22140203650264,NA,29.08,"","","1290908","ACH-000562","HCC78_LUNG","CVCL_2061","","DSMZ:ACC-563","DSMZ","ACC-563","Homo sapiens","Male","Unknown","65.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1834","SIDM00713","SIDS00266","SIDP00220","","NCIH2052","H2052_MM","Lung","Mesothelioma","C45663","Metastasis","Pleural effusion","Pleural Sarcomatoid Mesothelioma","Cell Line","Adherent","","None","9","1988","",NA,"MSS",3.875561742,4.42163828827034,NA,22.08,"","NCI-BL2052 is a lymphoblastoid line derived from the same patient as NCI-H2052 (ATCC).","688058","ACH-000153","NCIH2052_PLEURA","CVCL_1518","","ATCC:CRL-5915","ATCC","CRL-5915","Homo sapiens","Male","White","65.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1836","SIDM00355","SIDS01047","SIDP00940","","RERFLCMS","","Lung","Non-Small Cell Lung Carcinoma","C3512","Tumour","Unknown","Lung Adenocarcinoma","Cell Line","Unknown","","None","None","None","",NA,"MSS",4.332774355,2.26614272870003,NA,29.34,"","","910931","ACH-000062","RERFLCMS_LUNG","CVCL_1655","","JCRB:JCRB0081","JCRB","JCRB0081","Homo sapiens","Male","East Asian","None","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1840","SIDM00697","SIDS00225","SIDP00184","","NCIH1436","","Lung","Small Cell Lung Carcinoma","C4917","Metastasis","Lymph node","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","6","1986","",NA,"MSS",2.015223357,2.06939284484023,NA,70.13,"","","908469","ACH-000830","NCIH1436_LUNG","CVCL_1471","","ATCC:CRL-5871","ATCC","CRL-5871","Homo sapiens","Male","White","39.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
"1843","SIDM00762","SIDS00255","SIDP00211","","NCIH1944","","Lung","Non-Small Cell Lung Carcinoma","C3512","Metastasis","Soft tissue","Lung Adenocarcinoma","Cell Line","Adherent","","None","6","1988","",NA,"MSS",2.128046045,2.19111347856813,NA,44.05,"","","1240185","ACH-000414","NCIH1944_LUNG","CVCL_1508","","ATCC:CRL-5907","ATCC","CRL-5907","Homo sapiens","Female","White","62.0","","","","Smoker","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"True"
"1855","SIDM00293","SIDS00684","SIDP00611","","LU139","NCC-c-Lu-139","Lung","Small Cell Lung Carcinoma","C4917","Tumour","Unknown","Small Cell Lung Carcinoma","Cell Line","Suspension","","None","None","None","",NA,"MSS",2.9161907,3.01627722377378,NA,52.92,"","","713878","ACH-002052","LU139_LUNG","CVCL_1390","","RIKEN:RCB0469","RIKEN","RCB0469","Homo sapiens","Male","East Asian","63.0","","","","Unknown","",NA,"","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","",NA,"False"
